release_year,region,count,total,prop
1976,Africa,65,4525,0.014364640883977901
1976,Caribbean,13,4525,0.00287292817679558
1976,Central America,5,4525,0.0011049723756906078
1976,Eastern Asia,653,4525,0.14430939226519338
1976,Europe,1713,4525,0.3785635359116022
1976,Middle East,11,4525,0.002430939226519337
1976,North America,859,4525,0.1898342541436464
1976,Oceania,42,4525,0.009281767955801105
1976,Russia,269,4525,0.0594475138121547
1976,South America,167,4525,0.0369060773480663
1976,Southeast Asia,47,4525,0.010386740331491713
1976,Southern Asia,193,4525,0.04265193370165746
1976,UK,265,4525,0.05856353591160221
1976,Western Asia,223,4525,0.0492817679558011
1977,Africa,73,4464,0.01635304659498208
1977,Caribbean,12,4464,0.002688172043010753
1977,Central America,4,4464,0.0008960573476702509
1977,Eastern Asia,665,4464,0.1489695340501792
1977,Europe,1538,4464,0.34453405017921146
1977,Middle East,4,4464,0.0008960573476702509
1977,North America,1002,4464,0.22446236559139784
1977,Oceania,56,4464,0.012544802867383513
1977,Russia,323,4464,0.07235663082437276
1977,South America,135,4464,0.03024193548387097
1977,Southeast Asia,60,4464,0.013440860215053764
1977,Southern Asia,201,4464,0.04502688172043011
1977,UK,211,4464,0.04726702508960574
1977,Western Asia,180,4464,0.04032258064516129
1978,Africa,76,4739,0.016037138636843216
1978,Caribbean,7,4739,0.0014771048744460858
1978,Central America,2,4739,0.00042202996412745304
1978,Eastern Asia,749,4739,0.15805022156573117
1978,Europe,1600,4739,0.3376239713019624
1978,Middle East,2,4739,0.00042202996412745304
1978,North America,1142,4739,0.2409791095167757
1978,Oceania,60,4739,0.01266089892382359
1978,Russia,299,4739,0.06309347963705424
1978,South America,161,4739,0.033973412112259974
1978,Southeast Asia,58,4739,0.012238868959696138
1978,Southern Asia,224,4739,0.047267355982274745
1978,UK,252,4739,0.053175775480059084
1978,Western Asia,107,4739,0.02257860308081874
1979,Africa,82,4980,0.01646586345381526
1979,Caribbean,12,4980,0.0024096385542168677
1979,Central America,4,4980,0.0008032128514056225
1979,Eastern Asia,848,4980,0.17028112449799196
1979,Europe,1589,4980,0.31907630522088354
1979,Middle East,11,4980,0.0022088353413654616
1979,North America,1150,4980,0.23092369477911648
1979,Oceania,50,4980,0.010040160642570281
1979,Russia,354,4980,0.07108433734939759
1979,South America,186,4980,0.03734939759036145
1979,Southeast Asia,69,4980,0.013855421686746987
1979,Southern Asia,206,4980,0.04136546184738956
1979,UK,282,4980,0.056626506024096385
1979,Western Asia,137,4980,0.02751004016064257
1980,Africa,70,4849,0.014435966178593525
1980,Central America,7,4849,0.0014435966178593523
1980,Eastern Asia,795,4849,0.1639513301711693
1980,Europe,1648,4849,0.3398638894617447
1980,Middle East,6,4849,0.0012373685295937306
1980,North America,1218,4849,0.25118581150752733
1980,Oceania,30,4849,0.006186842647968653
1980,Russia,337,4849,0.06949886574551455
1980,South America,154,4849,0.03175912559290575
1980,Southeast Asia,51,4849,0.010517632501546711
1980,Southern Asia,246,4849,0.05073210971334296
1980,UK,216,4849,0.0445452670653743
1980,Western Asia,71,4849,0.014642194266859147
1981,Africa,71,4874,0.014567090685268774
1981,Caribbean,4,4874,0.0008206811653672548
1981,Central America,2,4874,0.0004103405826836274
1981,Eastern Asia,896,4874,0.18383258104226508
1981,Europe,1615,4874,0.3313500205170291
1981,Middle East,2,4874,0.0004103405826836274
1981,North America,1124,4874,0.2306114074681986
1981,Oceania,59,4874,0.01210504718916701
1981,Russia,376,4874,0.07714402954452196
1981,South America,131,4874,0.026877308165777596
